"comment","location","location2","sticker","id"
"Kamisado","Spiele für 10","Obergeschoss Links","K2","38545"
"Karak","Große Spiele","Im Regal Erdgeschoss (Rechts)","K4","241477"
"Karvi","Große Spiele","Im Regal Erdgeschoss (Rechts)","K3","399806"
"King of Tokyo","Große Spiele","Im Regal Erdgeschoss (Rechts)","K5","336755"
"Kinoko","Kleine Spiele","Im Regal Erdgeschoss (Links)","K3","348072"
"Kitchen Rush","Große Spiele","Im Regal Erdgeschoss (Rechts)","K6","223953"
"Klattschen","Kleine Spiele","Im Regal Erdgeschoss (Links)","K3.1","237501"
"Kneipenquiz","Große Spiele","Im Regal Erdgeschoss (Rechts)","K9.1","204801"
"Kriss Kross","Kleine Spiele","Im Regal Erdgeschoss (Links)","K6","220988"
"Kuhhandel","Kleine Spiele","Im Regal Erdgeschoss (Links)","K7","1117"
"La Cosa Nostra","Große Spiele","Im Regal Erdgeschoss (Rechts)","L3","151771"
"Letter Jam","Kleine Spiele","Im Regal Erdgeschoss (Links)","L4","275467"
"Ligretto","Kleine Spiele","Im Regal Erdgeschoss (Links)","L6","943"
"Ligretto","Kleine Spiele","Im Regal Erdgeschoss (Links)","L6","943"
"Ligretto","Kleine Spiele","Im Regal Erdgeschoss (Links)","L7","943"
"Ligretto","Kleine Spiele","Im Regal Erdgeschoss (Links)","L7","943"
"Ligretto","Kleine Spiele","Im Regal Erdgeschoss (Links)","L8","943"
"Ligretto","Kleine Spiele","Im Regal Erdgeschoss (Links)","L8","943"
"Little Town","Große Spiele","Im Regal Erdgeschoss (Rechts)","L5.1","241266"
"Looping Louie","Kinder- und Familienspiele","Obergeschoss Rechts","Kids 25","327"
"Lost Seas","Kleine Spiele","Im Regal Erdgeschoss (Links)","L12","353543"
"Love Letter","Kleine Spiele","Im Regal Erdgeschoss (Links)","L13","129622"
"Magic Maze","Große Spiele","Im Regal Erdgeschoss (Rechts)","M2","209778"
"Magnastorm","Große Spiele","Im Regal Erdgeschoss (Rechts)","M3","257067"
"Mango Tango","Kleine Spiele","Im Regal Erdgeschoss (Links)","M1.2","408481"
"Marrakech","Große Spiele","Im Regal Erdgeschoss (Rechts)","M5","29223"
"Marvel United","Große Spiele","Im Regal Erdgeschoss (Rechts)","M7","298047"
"Memo","Kinder- und Familienspiele","Obergeschoss Rechts","Kids 30","142399"
"Mischwald","Kleine Spiele","Im Regal Erdgeschoss (Links)","M5","391163"
"Monikers","Kleine Spiele","Im Regal Erdgeschoss (Links)","M7","156546"
"Munchkin","Kleine Spiele","Im Regal Erdgeschoss (Links)","M10","1927"
"Murano","Große Spiele","Im Regal Erdgeschoss (Rechts)","M11","163413"
"Mysterium","Große Spiele","Im Regal Erdgeschoss (Rechts)","M14","181304"
"Mystery House","Große Spiele","Im Regal Erdgeschoss (Rechts)","M15","269537"
"New York Zoo","Große Spiele","Im Regal Erdgeschoss (Rechts)","N1","300877"
"Nichtlustig","Kleine Spiele","Im Regal Erdgeschoss (Links)","N2","27837"
"Nidavellir","Große Spiele","Im Regal Erdgeschoss (Rechts)","N2","293014"
"Noch mal so gut!","Kleine Spiele","Im Regal Erdgeschoss (Links)","N3","285894"
"Nova Luna","Große Spiele","Im Regal Erdgeschoss (Rechts)","N5","284435"
"Old London Bridge","Große Spiele","Im Regal Erdgeschoss (Rechts)","O1","354273"
"Onitama","Große Spiele","Im Regal Erdgeschoss (Rechts)","O2","160477"
"Orléans","Große Spiele","Im Regal Erdgeschoss (Rechts)","O3","164928"
"Overbooked","Große Spiele","Im Regal Erdgeschoss (Rechts)","O4","230200"
"Packet Row","Große Spiele","Im Regal Erdgeschoss (Rechts)","P1","144492"
"Pendulum","Große Spiele","Im Regal Erdgeschoss (Rechts)","P2","312804"
"Phase 10","Kleine Spiele","Im Regal Erdgeschoss (Links)","P3","1258"
"Phase 10 Master","Kleine Spiele","Im Regal Erdgeschoss (Links)","P3.1","61470"
"Pictomania","Kinder- und Familienspiele","Obergeschoss Rechts","Kids 32","98229"
"Piraten Fluxx","Kleine Spiele","Im Regal Erdgeschoss (Links)","P4","73538"
"Piraten Kapern","Kleine Spiele","Im Regal Erdgeschoss (Links)","P5","117663"
"Pixel Tactics","Kleine Spiele","Im Regal Erdgeschoss (Links)","P6","125548"
"Pocket Ops","Kleine Spiele","Im Regal Erdgeschoss (Links)","P8","216234"
"Point of View","Große Spiele","Im Regal Erdgeschoss (Rechts)","P14","425235"
"Point of View","Große Spiele","Im Regal Erdgeschoss (Rechts)","P14","425235"
"Port Royal","Kleine Spiele","Im Regal Erdgeschoss (Links)","P9","156009"
"Privacy","Kleine Spiele","Im Regal Erdgeschoss (Links)","P9.1","83492"
"Quest","Kleine Spiele","Im Regal Erdgeschoss (Links)","Q1","316287"
