"titel","untertitel","location","location2","sticker","id"
"Cat in the Box","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C7","345972"
"Stop the Robots","","Große Spiele","Im Regal Erdgeschoss (Links)","S29","346008"
"Voll verplant","","Kleine Spiele","Im Regal Erdgeschoss (Links)","V3","346482"
"Kinoko","","Kleine Spiele","Im Regal Erdgeschoss (Links)","K3","348072"
"Allie Gator","","Kleine Spiele","Im Regal Erdgeschoss (Links)","A1","351857"
"Trio","","Kleine Spiele","Im Regal Erdgeschoss (Links)","T18.1","352515"
"Lost Seas","","Kleine Spiele","Im Regal Erdgeschoss (Links)","L12","353543"
"Schnattergei","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S6","354124"
"Hungry Monkey","","Kleine Spiele","Im Regal Erdgeschoss (Links)","H13","355735"
"Splito","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S19.1","359878"
"14 Frantic Minutes","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","1","362865"
"Tribes of the Wind","","Große Spiele","Im Regal Erdgeschoss (Links)","T17","362986"
"Saboteur","The Dark Cave","Kleine Spiele","Im Regal Erdgeschoss (Links)","S1","365702"
"Sea Salt & Paper","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S11","367220"
"Swindler","","Große Spiele","Im Regal Erdgeschoss (Links)","S33","367992"
"Fun Facts","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","45703","370164"
"Star Wars","The Deckbuilding Game","Kleine Spiele","Im Regal Erdgeschoss (Links)","S22","374173"
"That's Not a Hat","","Kleine Spiele","Im Regal Erdgeschoss (Links)","T6","375651"
"Faraway","","Kleine Spiele","Im Regal Erdgeschoss (Links)","F2.1","385761"
"Mischwald","","Kleine Spiele","Im Regal Erdgeschoss (Links)","M5","391163"
"3 Minute Crazy Café","","Kleine Spiele","Im Regal Erdgeschoss (Links)","1","394751"
"Zauberzwerg","","Kleine Spiele","Im Regal Erdgeschoss (Links)","Z1","394894"
"5 Towers","","Kleine Spiele","Im Regal Erdgeschoss (Links)","2","400205"
"5 Towers","","Kleine Spiele","Im Regal Erdgeschoss (Links)","2","400205"
"Strong Women","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S25","402768"
"Die ultimative Partyspielbox für Potter-Fans","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D14.1","408480"
"Mango Tango","","Kleine Spiele","Im Regal Erdgeschoss (Links)","M1.2","408481"
"Strato","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S24","409744"
"Slide","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S17.1","415836"
"Flip 7","","Kleine Spiele","Im Regal Erdgeschoss (Links)","F7","420087"
"Zaubertränke für Potter-Fans","","Kleine Spiele","Im Regal Erdgeschoss (Links)","W13","420159"
"Floral","","Kleine Spiele","Im Regal Erdgeschoss (Links)","F7.1","422737"
"Skull Queen","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S16.2","423432"
"Time Trouble","","Große Spiele","Im Regal Erdgeschoss (Links)","T10.1","427006"
"6 nimmt! ","","Kleine Spiele","Im Regal Erdgeschoss (Links)","3",""
"Anatomy Park","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","45684",""
"Anno Domini Frauen","","Kleine Spiele","Im Regal Erdgeschoss (Links)","A3",""
"Anno Domini Sport","","Kleine Spiele","Im Regal Erdgeschoss (Links)","A2",""
"Avalon","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","2",""
"Bang! ","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B2",""
"Bang! The Dice Game","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B3",""
"Battle Line ","Medival","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","3",""
"Bei dir piept's wohl","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B6.1",""
"Between Two Cities ","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","5",""
"Bioshock Infinite ","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","4",""
"Biotope","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B8.1",""
"Bring your own Book","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B15",""
"Burgle Bros","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B16",""
"Cabanga! ","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C1",""
"Cabo","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C2",""
"Caesar! ","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C3",""
"Café International Das Kartenspiel","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C5",""
"Cards against humanity","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C6",""
"Challengers","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","7",""
"Chosön","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C10",""
"Codenames Pictures","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C14",""
"Conspiracy Abyss Universe","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C17",""
"Crazy Rules ","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C19.1",""
"Cubirds","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C20",""
"Dan","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D20.1",""
"Dead of Winter","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","10",""
"Deja-Vu","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D3",""
"Demo Memo","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D4",""
"Der große Dalmuti","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D5",""
"Der Herr der Ringe Die Entscheidung","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D6",""
"Der Kartograph","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D7",""
"Dice Masters","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D9",""
"Die Crew Mission Tiefsee","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D10",""
"Die Häfen in Bremen","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D11",""
"Die Reise zum Mittelpunkt der Erde ","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D12",""
"Die Siedler von Catan Das Kartenspiel für zwei Spieler","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D13",""
"Die Siedler von Catan Das Würfelspiel ","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D14",""
"Dixit 10th Anniversary","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D15.1",""
"Dixit Daydreams","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D15.2",""
"Dixit Memories","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D15.3",""
"Dixit Mirrors","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D15.4",""
"Dobble","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D17",""
"Dobble Asterix","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D17.1",""
"DoDeLiDo","Party","Kleine Spiele","Im Regal Erdgeschoss (Links)","D18",""
"DoDeLiDo Extreme","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D19",""
"Doppelt so clever ","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D21",""
"Dorfromatik","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","9",""
"Douc in Danger Rettet die Affen","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D22",""
"Down Force","The Game of High Stakes Speed","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","11",""
"Drachenfaust","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D23",""
"Dracula vs Van Helsing ","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D23.1",""
"Drebo","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D25",""
"Drecksau","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D26",""
"Dungeon roll","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D28",""
"Eight minute Empire Legends","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","12",""
"Einfach Genial","","Kleine Spiele","Im Regal Erdgeschoss (Links)","E1",""
"Erwischt!","","Kleine Spiele","Im Regal Erdgeschoss (Links)","E2.1",""
"Eselsrennen","","Kleine Spiele","Im Regal Erdgeschoss (Links)","E3",""
"Evolution Climate","A Standalone Game","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","15",""
"Fake that!","","Kleine Spiele","Im Regal Erdgeschoss (Links)","F1.1",""
"Fantastische Reiche","","Kleine Spiele","Im Regal Erdgeschoss (Links)","F2",""
"Fat fish","","Kleine Spiele","Im Regal Erdgeschoss (Links)","F4",""
"Fette Beute","","Kleine Spiele","Im Regal Erdgeschoss (Links)","F5",""
"Fish you were here","","Kleine Spiele","Im Regal Erdgeschoss (Links)","F6.1",""
"For Sale","Bieden, Bluffen en Winnen!","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","45672",""
"Franky Rock'n Vegas","","Kleine Spiele","Im Regal Erdgeschoss (Links)","F8",""
"Frantic","","Kleine Spiele","Im Regal Erdgeschoss (Links)","F9",""
"Fungi","","Kleine Spiele","Im Regal Erdgeschoss (Links)","F12",""
"Game of Thrones ","Oathbreaker","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","16",""
"Garten= Zwerge: e.B.","","Kleine Spiele","Im Regal Erdgeschoss (Links)","G2",""
"Gold Ahoi!","","Kleine Spiele","Im Regal Erdgeschoss (Links)","G5",""
"Halt mal kurz","","Kleine Spiele","Im Regal Erdgeschoss (Links)","H0",""
"Hanimikoji","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","18",""
"Haste Worte","","Kleine Spiele","Im Regal Erdgeschoss (Links)","H3",""
"Heard Mentality","Whatever you do, don't stand out!","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","45709",""
"Heat ","Pedal to the Metal","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","19",""
"Heckmeck am Bratwurmeck","","Kleine Spiele","Im Regal Erdgeschoss (Links)","H4",""
"Here to slay","","Kleine Spiele","Im Regal Erdgeschoss (Links)","H6",""
"Hitster Guilty Pleasures","","Kleine Spiele","Im Regal Erdgeschoss (Links)","H7",""
"Hitster Movies & TV Soundtracks","","Kleine Spiele","Im Regal Erdgeschoss (Links)","H10",""
"Hitster Summer Party","","Kleine Spiele","Im Regal Erdgeschoss (Links)","H8",""
"Holmes ","","Kleine Spiele","Im Regal Erdgeschoss (Links)","H11.1",""
"Hornochsen","","Kleine Spiele","Im Regal Erdgeschoss (Links)","H12",""
"Horrified","The Stakes have been raised","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","20",""
"Hues and Clues","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","45678",""
"Hues and Clues","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","45709",""
"Ich habe fertig","","Kleine Spiele","Im Regal Erdgeschoss (Links)","I0",""
"In aller Ruhe ","","Kleine Spiele","Im Regal Erdgeschoss (Links)","I2",""
"Isle of Trains","all abord","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","22",""
"Ja, Herr und Meister","","Kleine Spiele","Im Regal Erdgeschoss (Links)","J1",""
"Jekyll vs Hyde","","Kleine Spiele","Im Regal Erdgeschoss (Links)","J2.1",""
