"objectname","id","rating","numplays","weight","own","fortrade","want","wanttobuy","wanttoplay","prevowned","preordered","wishlist","wishlistpriority","wishlistcomment","comment","conditiontext","haspartslist","wantpartslist","collid","baverage","average","avgweight","rank","numowned","objecttype","originalname","minplayers","maxplayers","playingtime","maxplaytime","minplaytime","yearpublished","bggrecplayers","bggbestplayers","bggrecagerange","bgglanguagedependence","publisherid","imageid","year","language","other","itemtype","barcode","pricepaid","pp_currency","currvalue","cv_currency","acquisitiondate","acquiredfrom","quantity","privatecomment","invlocation","invdate","version_publishers","version_languages","version_yearpublished","version_nickname","BG","BH","BI","BJ","BK","BL","BM","BN","BO","BP","BQ","BR","BS","BT","BU","BV","BW","BX","BY","BZ","CA","CB","CC","CD","CE","CF"
"Die Abenteuer des Robin Hood","326494","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110488967","6.75991","7.49125","1.8456","754","10078","thing","The Adventures of Robin Hood","2","4","60","60","60","2021","1","2","3","4","2","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2021","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Abrakadabrien: Das magische Kartenspiel","362600","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110495656","5.58929","6.6791","1.3333","8957","413","thing","Abrakadabrien: Das magische Kartenspiel","2","6","30","30","30","2022","2","3","4","5","6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2022","German edition","","","","","","","","","","","","","","","","","","","","","",""
"Activity","8790","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112219806","5.59514","5.86195","1.1176","8653","2152","thing","Activity","3","16","45","45","45","1990","4","6","8","9","10","11","12","6","8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventure Games: Das Verlies","267813","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111375589","6.28244","6.94261","1.6866","1742","5763","thing","Adventure Games: The Dungeon","1","4","90","90","90","2019","1","2","3","4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2019","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Adventure Games: Die Monochrome AG","267814","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110488231","5.97704","6.57298","1.9231","3015","4711","thing","Adventure Games: Monochrome Inc.","1","4","75","75","75","2019","1","2","3","4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2019","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Agricola","31260","0","0","0","1","0","0","0","0","0","0","0","3","","German / Deutsch 2022","","","","113074229","7.74871","7.87566","3.6366","53","85545","thing","Agricola","1","5","150","150","30","2007","1","2","3","4","5","3","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agricola: All Creatures Big and Small","119890","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","110495603","7.0714","7.33453","2.3502","394","19876","thing","Agricola: All Creatures Big and Small","2","2","30","30","30","2012","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agricola: All Creatures Big and Small – The Big Box","255262","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110495622","6.47416","7.65266","2.3051","0","4474","thing","Agricola: All Creatures Big and Small – The Big Box","2","2","30","30","30","2018","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Lookout Games","English","2018","English second edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Airlines Europe","90419","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110595000","6.88982","7.29736","2.4352","592","8200","thing","Airlines Europe","2","5","75","75","75","2011","3","4","5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE","German","2011","German first edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Alhambra","6249","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110495689","6.90893","7.03243","2.1009","565","42134","thing","Alhambra","2","6","60","60","45","2019","2","3","4","5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","Dutch English French German","2019","Queen multilingual edition 2019","","","","","","","","","","","","","","","","","","","","","","",""
"Allie Gator","351857","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110593801","5.49966","5.60429","1","22092","180","thing","Allie Gator","2","5","25","25","25","2022","2","3","4","2","4","8+","","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2022","German edition"," first printing","","","","","","","","","","","","","","","","","","","","","",""
"Anno 1800: Das Brettspiel","311193","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119456497","7.19738","7.72911","3.1265","286","10997","thing","Anno 1800: The Board Game","1","4","120","120","120","2020","2","3","4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2020","German edition"," first printing","","","","","","","","","","","","","","","","","","","","","","",""
"Anno Domini: Frauen","17924","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110490456","5.58175","6.82734","1.4615","9389","365","thing","Anno Domini: Frauen","2","8","30","30","30","1999","2","3","4","5","6","4","5","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE Fata Morgana Spiele","German","1999","German edition","","","","","","","","","","","","","","","","","","","","",""
"Anno Domini: Sport","17995","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110490447","5.56894","6.62296","1.4","10233","332","thing","Anno Domini: Sport","2","8","30","30","30","2000","2","3","4","5","6","4","5","","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE Fata Morgana Spiele","German","2000","First edition","","","","","","","","","","","","","","","","","","","","",""
"Anubixx","287693","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110489922","5.60818","6.19268","1.2222","8071","872","thing","Anubixx","2","5","20","20","20","2019","2","3","4","5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Nürnberger-Spielkarten-Verlag","German","2019","German-only edition","","","","","","","","","","","","","","","","","","","","","","",""
