"objectname","id","rating","numplays","weight","own","fortrade","want","wanttobuy","wanttoplay","prevowned","preordered","wishlist","wishlistpriority","wishlistcomment","comment","conditiontext","haspartslist","wantpartslist","collid","baverage","average","avgweight","rank","numowned","objecttype","originalname","minplayers","maxplayers","playingtime","maxplaytime","minplaytime","yearpublished","bggrecplayers","bggbestplayers","bggrecagerange","bgglanguagedependence","publisherid","imageid","year","language","other","itemtype","barcode","pricepaid","pp_currency","currvalue","cv_currency","acquisitiondate","acquiredfrom","quantity","privatecomment","invlocation","invdate","version_publishers","version_languages","version_yearpublished","version_nickname","BG","BH","BI","BJ","BK","BL","BM","BN","BO","BP","BQ","BR","BS","BT","BU","BV","BW","BX","BY","BZ","CA","CB","CC","CD","CE","CF"
"Lost Ruins of Arnak","312484","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116412883","7.89723","8.0757","2.914","29","66305","thing","Lost Ruins of Arnak","1","4","120","120","30","2020","1","2","3","4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lost Seas","353543","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116131382","5.77125","6.76145","1.7059","4666","498","thing","Lost Seas","2","4","30","30","20","2022","2","3","4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lotti Karotti: Das Hasenrennen","171626","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117071518","5.48171","5.20521","1","24635","367","thing","Lotti Karotti: Das Hasenrennen","2","4","15","15","15","2015","2","3","4","4","3–8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lotto","11028","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110491157","5.25152","3.75046","1.2308","26381","597","thing","Lotto","2","48","30","30","30","1530","2","3","4","5","6","6","3+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Love Letter","129622","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110658307","7.1275","7.22555","1.1845","337","110953","thing","Love Letter","2","4","20","20","20","2012","3","4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LUNA Capital","323613","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110495588","6.17142","7.14629","2.25","2126","3776","thing","LUNA Capital","1","4","45","45","45","2021","1","2","3","4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mac Robber","16500","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112788760","5.5023","5.53184","2.129","21522","1121","thing","Highland Clans","3","5","60","60","45","2005","3","4","5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","German","2005","German first edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Machi Koro","143884","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110489492","6.49103","6.60292","1.5266","1227","54106","thing","Machi Koro","2","4","30","30","30","2012","2","3","4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The Magic Labyrinth","41916","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110593780","6.43704","6.81138","1.2174","1354","11535","thing","The Magic Labyrinth","2","4","30","30","20","2009","2","3","4","3","4","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Magic Maze","209778","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110658419","6.80019","6.9574","1.7527","693","33841","thing","Magic Maze","1","8","15","15","15","2017","2","3","4","5","6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Magnastorm","257067","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110959228","5.90731","6.77343","3.1455","3473","2241","thing","Magnastorm","2","4","100","100","70","2018","2","3","4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Magnefix","313858","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110498912","5.51203","6.09512","1","19108","92","thing","Magnefix","2","4","15","15","15","2020","","","","","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malefiz","2322","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110656265","5.44902","5.45761","1.2039","25862","2580","thing","Malefiz","2","6","60","60","60","1960","2","3","4","3","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Man muss auch gönnen können","297895","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110489313","5.97925","6.77203","2.0909","3004","2917","thing","Divvy Dice","1","4","30","30","30","2020","1","2","3","4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","2020","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Manhattan","199","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110496327","6.39006","6.73115","1.9238","1461","8158","thing","Manhattan","2","4","45","45","45","1994","3","4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MANTIS","358690","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","118546624","5.96675","6.73222","1.0286","3078","3977","thing","MANTIS","2","6","10","10","10","2022","2","3","4","5","6","4","5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marrakech","29223","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110593874","6.33108","6.69728","1.3455","1603","6376","thing","Marrakech","2","4","30","30","30","2007","2","3","4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game","285774","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110489063","7.79885","8.12403","2.9283","41","40150","thing","Marvel Champions: The Card Game","1","4","90","90","45","2019","1","2","3","1","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marvel Dice Masters: The Amazing Spider-Man","177939","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112783879","5.91608","7.30321","2.1","3418","1930","thing","Marvel Dice Masters: The Amazing Spider-Man","2","2","60","60","60","2015","2","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","WizKids (I)","English","2015","First edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marvel United","298047","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110491178","7.18","7.58002","1.8053","298","23820","thing","Marvel United","1","4","40","40","40","2020","1","2","3","4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The Master Builders of Cologne","350779","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110686217","0","6.47727","1.5","0","59","thing","The Master Builders of Cologne","2","4","90","90","40","2021","3","4","3","8+","","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Master Labyrinth","437","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110959284","5.92422","6.28937","1.7789","3365","5524","thing","Master Labyrinth","2","4","30","30","20","1991","2","3","4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Master Word","302734","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110933265","5.85822","6.75009","1.4783","3842","1649","thing","Master Word","3","6","15","15","5","2020","2","3","4","5","4","12","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"maunz.","355433","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","113528845","6.35881","7.12385","1.3556","1533","4304","thing","boop.","2","2","30","30","20","2023","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Skellig Games Smirk & Dagger Games","German","2023","German edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Die Maus: Mausefalle","25097","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111779629","5.45468","4.7663","1","25769","294","thing","Die Maus: Mausefalle","2","6","15","15","15","1980","2","3","4","5","4","3–6","","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Meadow","314491","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110489283","7.32776","7.74798","2.254","208","19880","thing","Meadow","1","4","90","90","60","2021","1","2","3","4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Memo","142399","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111242930","0","4.66667","0","0","7","thing","Memo","1","2","0","0","0","0","","","","","","","","","","standalone","","","","","","","","","","","","Invicta Games","English","0","English edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Memoarrr!","230383","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110663912","6.21795","6.88406","1.2143","1958","4562","thing","Memoarrr!","2","4","20","20","10","2017","2","3","4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Memory","7688","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110491093","5.03276","4.76375","1.1488","26420","5657","thing","Memory","2","6","30","30","30","1959","2","3","4","2","3–16","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MicroMacro: Crime City","318977","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110658444","7.24381","7.50282","1.1104","256","31088","thing","MicroMacro: Crime City","1","4","45","45","15","2020","1","2","3","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MicroMacro: Crime City – Full House","338834","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116833480","6.93733","7.67877","1.1852","537","12956","thing","MicroMacro: Crime City – Full House","1","4","45","45","15","2021","1","2","3","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Edition Spielwiese Pegasus Spiele","English","2021","English edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Mikado Magnetico","14617","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110687252","5.49031","4.75","1","23681","60","thing","Mikado Magnetico","2","4","0","0","0","1988","2","3","2","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mille Fiori","346501","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110497803","6.73439","7.43068","2.1667","802","6587","thing","Mille Fiori","2","4","90","90","60","2021","3","4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The Mind","244992","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110493665","6.63708","6.76062","1.0728","960","56332","thing","The Mind","2","4","20","20","20","2018","2","3","4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mischwald","391163","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111779288","7.01873","7.60397","2.1494","440","9769","thing","Forest Shuffle","2","5","60","60","40","2023","2","3","4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Lookout Games","German","2023","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Mississippi Queen","256","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110496196","6.0297","6.31065","1.696","2733","6474","thing","Mississippi Queen","3","5","45","45","45","1997","3","4","5","4","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MLEM: Space Agency","387378","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","117809244","6.30699","7.20879","1.6727","1662","3421","thing","MLEM: Space Agency","2","5","60","60","30","2024","2","3","4","5","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The Mole in the Hole","321","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110496343","5.76207","6.2829","1.2889","4779","1927","thing","The Mole in the Hole","2","4","30","30","30","1995","2","3","4","3","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Monikers","156546","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110586838","7.18748","7.78659","1.0779","291","12447","thing","Monikers","4","16","60","60","30","2015","4","5","6","7","8","9","10","11","12","14","6","8","10","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Monopoly Deal Card Game","40398","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110593923","6.08089","6.30089","1.3232","2505","23990","thing","Monopoly Deal Card Game","2","5","15","15","15","2008","2","3","4","5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Monopoly: Cheaters Edition","254617","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110490858","5.38856","5.0349","1.2857","26244","2167","thing","Monopoly: Cheaters Edition","2","6","180","180","60","2018","2","3","4","5","6","4","5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Monopoly: Disney","8633","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110489335","5.40074","5.20657","1.8571","26200","2032","thing","Monopoly: Disney","2","8","90","90","90","2001","3","4","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Monopoly: Köln","15665","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110594975","0","4.55556","0","0","32","thing","Monopoly: Köln","2","8","120","120","120","2000","","","","","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Monopoly: Stock Exchange","3065","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110489603","5.50471","5.73099","2.2778","20992","453","thing","Monopoly: Stock Exchange","2","6","120","120","120","2001","2","3","4","5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morels","122298","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110491672","6.67083","6.98599","1.7366","908","17129","thing","Morels","2","2","30","30","30","2012","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Munchkin","1927","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110488686","5.69304","5.87197","1.8089","5830","92824","thing","Munchkin","3","6","120","120","60","2001","3","4","5","6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Murano","163413","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118391587","6.37331","7.17372","2.7281","1503","2891","thing","Murano","2","4","75","75","60","2014","2","3","4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Lookout Games","German","2014","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"My City: Roll & Build","351476","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110492572","6.23296","7.10466","1.4737","1901","4312","thing","My City: Roll & Build","1","6","30","30","30","2022","1","2","3","4","5","6","2","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"My First Stone Age","191004","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110495775","6.12003","6.64168","1.1324","2349","5685","thing","My First Stone Age","2","4","15","15","15","2016","2","3","4","3","4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"My Little Scythe","226320","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110488824","6.74423","7.23913","2.0083","787","12980","thing","My Little Scythe","1","6","60","60","45","2017","1","2","3","4","5","6","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mysterium","181304","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110488774","7.07933","7.21778","1.9011","388","72506","thing","Mysterium","2","7","42","42","42","2015","3","4","5","6","7","5","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mystery Games: Der Ausbruch aus Arazar","368957","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111762282","0","8","0","0","23","thing","Mystery Games: Der Ausbruch aus Arazar","2","4","120","120","60","2023","","","","","","","","","","standalone","","","","","","","","","","","","Ravensburger","German","2023","German edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mystery House","269537","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112908434","5.72479","6.29132","2.1333","5296","1960","thing","Mystery House: Adventures in a Box","1","5","60","60","60","2020","1","2","3","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","2020","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"The Networks","72321","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110658800","6.73728","7.14982","2.5935","799","10109","thing","The Networks","1","5","90","90","60","2016","1","2","3","4","5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New York Zoo","300877","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110495642","6.72886","7.07294","1.9406","813","15900","thing","New York Zoo","1","5","60","60","30","2020","1","2","3","4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Feuerland Spiele","German","2020","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Next Station: London","353545","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110685741","6.83167","7.46555","1.4741","659","7923","thing","Next Station: London","1","4","30","30","25","2023","1","2","3","4","2","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","HCM Kinzel","German","2023","German edition with SdJ nomination logo","","","","","","","","","","","","","","","","","","","","","",""
"Niagara","13308","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111779583","6.24413","6.45605","1.8378","1864","10911","thing","Niagara","3","5","45","45","30","2005","3","4","5","4","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Zoch Verlag","English German","2005","English/German edition 2005 with SdJ","","","","","","","","","","","","","","","","","","","","","","",""
"Nichtlustig","27837","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117947263","5.45078","5.20347","1.2609","25835","798","thing","Nichtlustig","2","4","30","30","30","2007","2","3","4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nidavellir","293014","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110593848","7.29077","7.59696","2.1077","226","17698","thing","Nidavellir","2","5","45","45","45","2020","2","3","4","5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nobody Is Perfect","8829","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110488341","5.95287","6.8191","1.5645","3163","2130","thing","Nobody Is Perfect","3","10","45","45","45","1992","4","5","6","7","8","9","10","5","6","8","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Noch mal so gut!","285894","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110686151","6.18551","7.22315","1.8205","2070","3808","thing","Bravo!","1","6","20","20","20","2019","1","2","3","4","5","6","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","2019","German edition","","","","","","","","","","","","","","","","","","","","",""
"Noch mal! Deluxe","377718","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111765990","0","7.14815","0","0","108","thing","Noch mal! Deluxe","1","4","20","20","20","2023","","","","","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","2023","German edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Noobs über Bord","379158","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110836348","5.54151","6.89702","1.6667","12888","213","thing","Noobs über Bord","3","5","15","15","15","2023","3","4","5","3","","","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2023","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Nova Luna","284435","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110490439","6.89396","7.28228","1.8667","583","12363","thing","Nova Luna","1","4","60","60","30","2019","1","2","3","4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nyctophobia","249505","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110489810","5.66631","6.06194","1.75","6371","2688","thing","Nyctophobia","3","5","45","45","30","2018","3","4","5","3","4","5","5–18","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oceans","232414","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110491358","6.93474","7.45606","2.8685","542","12329","thing","Oceans","2","4","90","90","60","2020","2","3","4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Old London Bridge","354273","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110496797","5.82353","7.15955","1.8421","4134","879","thing","Old London Bridge","2","4","45","45","45","2022","2","3","4","4","8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","Dutch English French German","2022","English/German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"One Night Ultimate Werewolf","147949","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110663589","6.88304","7.05604","1.3741","602","51610","thing","One Night Ultimate Werewolf","3","10","10","10","10","2014","4","5","6","7","8","9","10","6","7","8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Onitama","160477","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110492948","7.15308","7.35189","1.6482","317","34298","thing","Onitama","2","2","20","20","15","2017","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Pegasus Spiele","German","2017","German edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orchard","5770","0","0","0","1","0","0","0","0","0","0","1","3","","","","","","115988157","5.77259","6.3412","1.037","4653","2276","thing","Orchard","2","8","10","10","10","1986","2","3","4","3","4","3–6","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orléans","164928","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110492220","7.87372","8.06191","3.0283","32","38783","thing","Orléans","2","5","90","90","90","2014","2","3","4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Overbooked","230200","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110495699","6.08007","7.00758","1.9688","2511","2980","thing","Overbooked","1","4","40","40","20","2018","1","2","3","4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Packet Row: New York","1842","144492","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","112785202","5.65392","6.09734","1.9762","6633","1004","thing","Packet Row","2","5","75","75","45","2013","2","3","4","5","4","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Pegasus Spiele","German","2013","German-only first edition","","","","","","","","","","","","","","","","","","","","",""
"Paleo","300531","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110494343","7.30948","7.69296","2.6322","216","22851","thing","Paleo","1","4","60","60","45","2020","1","2","3","4","2","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Palm Island","239464","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111375658","6.62863","7.0759","1.75","974","13552","thing","Palm Island","1","2","15","15","15","2019","1","2","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2019","German edition","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pandemic","30549","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110491878","7.43008","7.53607","2.3997","147","203112","thing","Pandemic","2","4","45","45","45","2008","1","2","3","4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pandemic: Hot Zone – Europe","329670","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110586915","5.92382","7.11358","1.9565","3369","3249","thing","Pandemic: Hot Zone – Europe","2","4","30","30","30","2021","1","2","3","4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Paris: La Cité de la Lumière","276498","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110745618","6.71403","7.29336","2.0312","833","10654","thing","Paris: La Cité de la Lumière","2","2","30","30","30","2019","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PARKS","266524","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110594471","7.43952","7.66996","2.122","144","44887","thing","PARKS","1","5","60","60","30","2019","1","2","3","4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Patchwork: Americana Edition","163412","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111197462","7.48935","7.59665","1.6025","121","105007","thing","Patchwork","2","2","30","30","15","2020","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","999 Games","Dutch","2020","Dutch edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Der Pate","74102","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110595530","5.61841","6.23026","2.3448","7675","675","thing","Der Pate","2","4","60","60","60","2010","2","3","4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
